Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
26.24,47.2,4.0028,26.5,25.4,4.1524
26.29,47.47,4.0043,26.66,25.4,4.1461
26.33,47.64,4.0075,26.5,25.4,4.1524
26.37,47.96,3.998,26.5,25.4,4.1461
26.41,48.38,4.0043,26.42,25.4,4.1461
26.46,48.6,3.9821,26.58,25.4,4.1492
26.5,48.77,4.0091,26.58,25.4,4.1445
26.54,48.79,4.0012,26.66,25.4,4.1429
26.59,48.89,4.0012,26.82,25.4,4.1492
26.63,48.86,4.0012,26.58,25.4,4.1429
26.67,48.82,4.0012,26.66,25.4,4.1429
26.71,48.84,4.0091,26.66,25.4,4.1492
26.75,48.84,4.0059,26.27,25.4,4.1461
26.8,48.74,4.0012,26.5,25.4,4.1445
26.84,48.77,3.9821,26.5,25.4,4.1492
26.89,48.74,3.9996,26.66,25.4,4.1492
26.93,48.72,4.0059,26.35,25.4,4.1476
26.97,48.79,4.0028,26.42,25.4,4.1461
27.01,48.79,4.0059,26.66,25.4,4.1461
27.05,48.77,4.0059,26.58,25.4,4.1461
27.1,48.77,4.0059,26.35,25.4,4.1445
27.14,48.79,4.0091,26.35,25.4,4.1445
27.18,48.74,3.9996,26.5,25.4,4.1445
27.23,48.77,3.9789,26.35,25.4,4.1445
27.27,48.79,4.0091,26.5,25.4,4.1476
27.31,48.82,4.0059,26.42,25.4,4.1492
27.35,48.82,3.9996,26.42,25.4,4.1461
27.4,48.77,3.998,26.42,25.4,4.1476
27.44,48.79,4.0043,26.42,25.4,4.1476
27.48,48.86,4.0043,26.11,25.4,4.1492
27.52,48.86,3.9996,26.27,25.4,4.1476
27.56,48.86,4.0043,26.27,25.4,4.1413
27.61,48.89,3.9773,25.87,25.4,4.1445
27.65,48.89,4.0028,26.42,25.4,4.1445
27.7,48.99,3.9996,26.27,25.4,4.1476
27.74,48.96,4.0028,26.27,25.4,4.1476
27.78,49.01,4.0028,26.35,25.4,4.1429
27.82,49.06,4.0043,26.27,25.4,4.1476
27.86,49.13,3.9996,26.27,25.4,4.1445
27.91,49.04,4.0043,26.27,25.4,4.1476
27.95,49.18,3.9996,26.5,25.4,4.1445
28.0,49.23,4.0012,26.42,25.4,4.1413
28.04,49.28,3.9805,26.19,25.4,4.1461
28.08,49.26,4.0028,26.42,25.4,4.1461
28.12,49.26,4.0028,26.11,25.4,4.1445
28.16,49.35,4.0075,26.27,25.4,4.1461
28.21,49.35,4.0059,26.35,25.4,4.1476
28.25,49.43,4.0028,26.27,25.4,4.1476
28.29,49.43,4.0059,26.19,25.4,4.1524
